Seaside-Core	29	300	1499
Seaside-Core	14	134	628
Seaside-Core	35	370	1792
Seaside-Core	2	2	6
Seaside-Core	2	2	6
Seaside-Core	2	2	6
Seaside-Core	3	12	40
Seaside-Core	2	2	6
Seaside-Core	2	2	6
Seaside-Core	2	2	6
Seaside-Core	5	66	249
Seaside-Core	6	76	287
Seaside-Core	5	68	244
Seaside-Core	5	70	240
Seaside-Core	4	18	60
Seaside-Core	5	236	784
Seaside-Core	10	108	392
Seaside-Core	4	30	96
Seaside-Core	10	96	337
Seaside-Core	5	70	256
Seaside-Core	4	18	60
Seaside-Core	10	128	490
Seaside-Core	10	138	537
Seaside-Core	5	40	138
Seaside-Core	5	42	146
Seaside-Core	5	58	204
Seaside-Core	5	40	144
Seaside-Core	5	54	186
Seaside-Core	5	58	204
Seaside-Core	5	40	138
Seaside-Core	5	40	138
Seaside-Core	5	66	249
Seaside-Core	5	94	338
Seaside-Core	4	62	212
Seaside-Core	6	78	295
Seaside-Core	5	66	251
Seaside-Core	4	34	116
Seaside-Core	6	72	266
Seaside-Core	5	52	188
Seaside-Core	38	386	1431
Seaside-Core	38	382	1415
Seaside-Core	35	318	1170
Seaside-Core	44	652	2446
Seaside-Core	35	288	1054
Seaside-Core	40	6088	22628
Seaside-Core	42	5620	20936
Seaside-Core	48	9996	37351
Seaside-Core	35	318	1176
Seaside-Core	35	318	1176
Seaside-Core	38	386	1431
Seaside-Core	35	374	1375
Seaside-Core	40	474	1784
Seaside-Core	3	24	72
Seaside-Core	43	530	1990
Seaside-Core	43	586	2206
Seaside-Core	48	530	2046
Seaside-Core	25	202	765
Seaside-Core	81	960	3698
Seaside-Core	39	374	1445
Seaside-Core	3	14	42
Seaside-Core	32	298	1142
Seaside-Core	54	656	2533
Seaside-Core	39	392	1508
Seaside-Core	6	28	114
Seaside-Core	6	30	120
Seaside-Core	6	30	120
Seaside-Core	5	72	261
Seaside-Core	29	898	3572
Seaside-Core	19	608	2326
Seaside-Core	11	126	472
Seaside-Core	24	918	3551
Seaside-Core	20	668	2581
Seaside-Core	26	962	3776
Seaside-Core	10	126	472
Seaside-Core	21	434	1625
Seaside-Core	23	596	2268
Seaside-Core	19	456	1723
Seaside-Core	5	88	354
Seaside-Core	5	32	114
Seaside-Core	5	326	1034
Seaside-Core	4	30	110
Seaside-Core	4	46	180
Seaside-Core	6	100	376
Seaside-Core	6	170	625
Seaside-Core	4	1090	4325
Seaside-Core	3	6	22
Seaside-Core	4	8	21
Seaside-Core	37	330	1177
Seaside-Core	39	350	1246
Seaside-Core	39	362	1282
Seaside-Core	45	324	1162
Seaside-Core	45	376	1334
Seaside-Core	45	322	1156
Seaside-Core	53	438	1540
Seaside-Core	48	364	1299
Seaside-Core	42	418	1521
Seaside-Core	37	312	1120
Seaside-Core	39	362	1312
Seaside-Core	56	660	2442
Seaside-Core	38	372	1323
Seaside-Core	39	354	1264
Seaside-Core	17	84	309
Seaside-Core	17	84	309
Seaside-Core	28	302	1117
Seaside-Core	28	294	1081
Seaside-Core	34	422	1462
Seaside-Core	36	382	1339
Seaside-Core	36	484	1663
Seaside-Core	33	216	793
Seaside-Core	34	268	959
Seaside-Core	33	214	787
Seaside-Core	41	390	1363
Seaside-Core	36	286	1026
Seaside-Core	34	404	1405
Seaside-Core	53	602	2247
Seaside-Core	35	524	1800
Seaside-Core	36	416	1453
Seaside-Core	3	4	16
Seaside-Core	3	10	38
Seaside-Core	3	6	22
Seaside-Core	4	8	24
Seaside-Core	22	170	6841
Seaside-Core	18	110	937
Seaside-Core	16	88	330
Seaside-Core	22	164	603
Seaside-Core	3	12	38
Seaside-Core	16	82	310
Seaside-Core	16	88	330
Seaside-Core	16	90	340
Seaside-Core	16	88	330
Seaside-Core	22	142	525
Seaside-Core	22	142	525
Seaside-Core	2	6	18
Seaside-Core	22	164	603
Seaside-Core	16	84	318
Seaside-Core	3	10	32
Seaside-Core	16	80	304
Seaside-Core	16	86	328
Seaside-Core	22	142	525
Seaside-Core	22	142	525
Seaside-Core	2	6	18
Seaside-Core	30	260	910
Seaside-Core	32	280	979
Seaside-Core	32	292	1015
Seaside-Core	29	202	715
Seaside-Core	29	200	709
Seaside-Core	37	316	1093
Seaside-Core	32	242	852
Seaside-Core	68	636	2513
Seaside-Core	113	1702	11631
Seaside-Core	30	242	853
Seaside-Core	54	684	2506
Seaside-Core	31	302	1056
Seaside-Core	32	284	997
Seaside-Core	54	438	2924
Seaside-Core	52	1146	5580
Seaside-Core	17	92	347
Seaside-Core	16	86	325
Seaside-Core	17	88	331
Seaside-Core	16	80	301
Seaside-Core	17	92	347
Seaside-Core	21	134	999
Seaside-Core	21	134	999
Seaside-Core	22	166	619
Seaside-Core	26	242	903
Seaside-Core	17	128	518
Seaside-Core	25	240	891
Seaside-Core	101	630	3751
Seaside-Core	26	210	787
Seaside-Core	17	86	317
Seaside-Core	15	78	293
Seaside-Core	59	490	1979
Seaside-Core	52	1136	5546
Seaside-Core	23	128	499
Seaside-Core	16	84	317
Seaside-Core	21	134	999
Seaside-Core	21	134	999
Seaside-Core	28	242	909
Seaside-Core	23	158	624
Seaside-Core	94	564	2266
Seaside-Core	25	240	891
Seaside-Core	25	164	629
Seaside-Core	17	86	317
Seaside-Core	47	462	3002
Seaside-Core	3	22	72
Seaside-Core	8	70	260
Seaside-Core	3	8	36
Seaside-Core	6	56	210
Seaside-Core	3	16	52
Seaside-Core	3	22	72
Seaside-Core	62	698	3855
Seaside-Core	87	766	4232
Seaside-Core	4	16	66
Seaside-Core	3	14	60
Seaside-Core	3	10	42
Seaside-Core	3	10	42
Seaside-Core	3	14	54
Seaside-Core	3	10	42
Seaside-Core	3	10	42
Seaside-Core	3	6	24
Seaside-Core	3	10	42
Seaside-Core	3	10	42
Seaside-Core	3	14	60
Seaside-Core	3	26	101
Seaside-Core	2	4	12
Seaside-Core	3	10	42
Seaside-Core	3	402	1806
Seaside-Core	3	10	42
Seaside-Core	2	2	6
Seaside-Core	3	10	42
Seaside-Core	3	14	60
Seaside-Core	3	14	60
Seaside-Core	3	14	60
Seaside-Core	3	18	72
Seaside-Core	3	14	60
Seaside-Core	3	14	60
Seaside-Core	2	4	12
Seaside-Core	3	14	60
Seaside-Core	4	18	72
Seaside-Core	26	180	3291
Seaside-Core	26	180	3291
Seaside-Core	16	84	315
Seaside-Core	34	270	6247
Seaside-Core	38	270	7515
Seaside-Core	22	124	1765
Seaside-Core	26	244	3535
Seaside-Core	16	84	315
Seaside-Core	8	342	1194
Seaside-Core	4	10	38
Seaside-Core	4	12	44
Seaside-Core	4	12	44
Seaside-Core	4	14	50
Seaside-Core	6	42	162
Seaside-Core	4	8	34
Seaside-Core	4	12	46
Seaside-Core	4	12	46
Seaside-Core	4	12	46
Seaside-Core	4	14	54
Seaside-Core	4	14	54
Seaside-Core	5	18	70
Seaside-Core	4	2054	7186
Seaside-Core	6	50	180
Seaside-Core	5	42	146
Seaside-Core	4	10	34
Seaside-Core	5	34	122
Seaside-Core	5	42	146
Seaside-Core	4	20	70
Seaside-Core	7	54	198
Seaside-Core	4	16	64
Seaside-Core	4	24	105
Seaside-Core	4	10	40
Seaside-Core	4	26	110
Seaside-Core	4	16	72
Seaside-Core	4	16	72
Seaside-Core	4	10	40
Seaside-Core	4	16	64
Seaside-Core	4	16	56
Seaside-Core	4	14	56
Seaside-Core	4	10	40
Seaside-Core	4	10	40
Seaside-Core	4	10	40
Seaside-Core	4	10	38
Seaside-Core	4	16	56
Seaside-Core	4	10	40
Seaside-Core	32	300	2478
Seaside-Core	7	50	221
Seaside-Core	8	62	267
Seaside-Core	7	50	190
Seaside-Core	8	62	240
Seaside-Core	7	48	218
Seaside-Core	7	48	186
Seaside-Core	4	22	76
