# Bucket (ms)	Occurrences		%		Cum. %
1000			50				79.36	79.36
2000			1				1.58	80.94
3000			2				3.17	84.11
4000			3				4.76	88.87
5000			1				1.58	90.45
6000			2				3.17	93.62
8000			1				1.58	95.2
9000			1				1.58	96.78
10000			1				1.58	98.36
12000			1				1.58	99.94
