A	640		506		453		141		702		1650
A	535		282		226		273		974		737
A	761		236		349		228		904		1266
B	996		247		137		474		381		544
B	1069	323		229		336		623		900
B	653		256		113		216		513		1530
B	1080	239		109 	867		700		1338
C	719		101		148		599		311		771
C	675		169 	305		490		279		1408
C	776		165		209		677		326		1065
C	1018	226		204		552		313		748
